"Data.in.Byte" , "Gap.in.Byte" , "Datasieving.1.on" , "Buffer.in.MByte" , "fill_level"     , "mean_value"      
131072         , 655360        , 0                  , 4                 , 16.6666666666667 , 40.607805         
131072         , 655360        , 1                  , 1                 , 16.6666666666667 , 14.0373998        
131072         , 655360        , 1                  , 4                 , 16.6666666666667 , 12.106433         
131072         , 655360        , 1                  , 100               , 16.6666666666667 , 12.106433         
131072         , 786432        , 0                  , 4                 , 14.2857142857143 , 37.484535         
131072         , 786432        , 1                  , 1                 , 14.2857142857143 , 10.55312          
131072         , 786432        , 1                  , 4                 , 14.2857142857143 , 10.5440194        
131072         , 786432        , 1                  , 100               , 14.2857142857143 , 10.5440194        
131072         , 917504        , 0                  , 4                 , 12.5             , 54.1846232        
131072         , 917504        , 1                  , 1                 , 12.5             , 18.0473838        
131072         , 917504        , 1                  , 4                 , 12.5             , 20.2330412        
131072         , 917504        , 1                  , 100               , 12.5             , 20.2330412        
131072         , 1048576       , 0                  , 4                 , 11.1111111111111 , 35.0844676        
131072         , 1048576       , 1                  , 1                 , 11.1111111111111 , 12.770118         
131072         , 1048576       , 1                  , 4                 , 11.1111111111111 , 13.7066272        
131072         , 1048576       , 1                  , 100               , 11.1111111111111 , 13.7066272        
131072         , 1179648       , 0                  , 4                 , 10               , 38.7946916        
131072         , 1179648       , 1                  , 1                 , 10               , 11.8475072        
131072         , 1179648       , 1                  , 4                 , 10               , 12.9720374        
131072         , 1179648       , 1                  , 100               , 10               , 12.9720374        
131072         , 1310720       , 0                  , 4                 , 9.09090909090909 , 37.1764636        
131072         , 1310720       , 1                  , 1                 , 9.09090909090909 , 11.4628512        
131072         , 1310720       , 1                  , 4                 , 9.09090909090909 , 11.872718         
131072         , 1310720       , 1                  , 100               , 9.09090909090909 , 11.872718         
131072         , 1441792       , 0                  , 4                 , 8.33333333333333 , 28.9367088        
131072         , 1441792       , 1                  , 1                 , 8.33333333333333 , 11.3151422        
131072         , 1441792       , 1                  , 4                 , 8.33333333333333 , 11.3041408        
131072         , 1441792       , 1                  , 100               , 8.33333333333333 , 11.3041408        
204800         , 0             , 0                  , 4                 , 100              , 96.9489282        
204800         , 0             , 1                  , 1                 , 100              , 96.151311         
204800         , 0             , 1                  , 4                 , 100              , 96.6319024        
204800         , 0             , 1                  , 100               , 100              , 96.6319024        
204800         , 3200          , 0                  , 4                 , 98.4615384615385 , 96.9056544        
204800         , 3200          , 1                  , 1                 , 98.4615384615385 , 95.9793204        
204800         , 3200          , 1                  , 4                 , 98.4615384615385 , 95.5026662        
204800         , 3200          , 1                  , 100               , 98.4615384615385 , 95.5026662        
204800         , 6400          , 0                  , 4                 , 96.969696969697  , 94.4059698        
204800         , 6400          , 1                  , 1                 , 96.969696969697  , 94.5901872        
204800         , 6400          , 1                  , 4                 , 96.969696969697  , 94.044216         
204800         , 6400          , 1                  , 100               , 96.969696969697  , 94.044216         
204800         , 12800         , 0                  , 4                 , 94.1176470588235 , 91.2461794        
204800         , 12800         , 1                  , 1                 , 94.1176470588235 , 91.6633696        
204800         , 12800         , 1                  , 4                 , 94.1176470588235 , 90.7160146        
204800         , 12800         , 1                  , 100               , 94.1176470588235 , 90.7160146        
204800         , 25600         , 0                  , 4                 , 88.8888888888889 , 87.5044852        
204800         , 25600         , 1                  , 1                 , 88.8888888888889 , 86.1382918        
204800         , 25600         , 1                  , 4                 , 88.8888888888889 , 86.0208804        
204800         , 25600         , 1                  , 100               , 88.8888888888889 , 86.0208804        
204800         , 51200         , 0                  , 4                 , 80               , 77.8617374        
204800         , 51200         , 1                  , 1                 , 80               , 77.6845966        
204800         , 51200         , 1                  , 4                 , 80               , 78.2924936        
204800         , 51200         , 1                  , 100               , 80               , 78.2924936        
204800         , 102400        , 0                  , 4                 , 66.6666666666667 , 38.0484154        
204800         , 102400        , 1                  , 1                 , 66.6666666666667 , 41.9340152        
204800         , 102400        , 1                  , 4                 , 66.6666666666667 , 45.7454318        
204800         , 102400        , 1                  , 100               , 66.6666666666667 , 45.7454318        
204800         , 204800        , 0                  , 4                 , 50               , 49.971195         
204800         , 204800        , 1                  , 1                 , 50               , 48.9442344        
204800         , 204800        , 1                  , 4                 , 50               , 49.8881164        
204800         , 204800        , 1                  , 100               , 50               , 49.8881164        
204800         , 409600        , 0                  , 4                 , 33.3333333333333 , 49.5377126        
204800         , 409600        , 1                  , 1                 , 33.3333333333333 , 18.2755556        
204800         , 409600        , 1                  , 4                 , 33.3333333333333 , 19.190096         
204800         , 409600        , 1                  , 100               , 33.3333333333333 , 19.190096         
204800         , 614400        , 0                  , 4                 , 25               , 48.7236936        
204800         , 614400        , 1                  , 1                 , 25               , 28.6734374        
204800         , 614400        , 1                  , 4                 , 25               , 28.931151         
204800         , 614400        , 1                  , 100               , 25               , 28.931151         
204800         , 819200        , 0                  , 4                 , 20               , 48.7342838        
204800         , 819200        , 1                  , 1                 , 20               , 19.3604162        
204800         , 819200        , 1                  , 4                 , 20               , 19.0988518        
204800         , 819200        , 1                  , 100               , 20               , 19.0988518        
204800         , 1024000       , 0                  , 4                 , 16.6666666666667 , 47.9874736        
204800         , 1024000       , 1                  , 1                 , 16.6666666666667 , 14.5259498        
204800         , 1024000       , 1                  , 4                 , 16.6666666666667 , 14.3585268        
204800         , 1024000       , 1                  , 100               , 16.6666666666667 , 14.3585268        
204800         , 1228800       , 0                  , 4                 , 14.2857142857143 , 47.676741         
204800         , 1228800       , 1                  , 1                 , 14.2857142857143 , 9.8447508         
204800         , 1228800       , 1                  , 4                 , 14.2857142857143 , 9.962634          
204800         , 1228800       , 1                  , 100               , 14.2857142857143 , 9.962634          
204800         , 1433600       , 0                  , 4                 , 12.5             , 46.0765142        
204800         , 1433600       , 1                  , 1                 , 12.5             , 8.3829498         
204800         , 1433600       , 1                  , 4                 , 12.5             , 8.554416          
204800         , 1433600       , 1                  , 100               , 12.5             , 8.554416          
204800         , 1638400       , 0                  , 4                 , 11.1111111111111 , 33.8244994        
204800         , 1638400       , 1                  , 1                 , 11.1111111111111 , 11.1378718        
204800         , 1638400       , 1                  , 4                 , 11.1111111111111 , 10.0230776        
204800         , 1638400       , 1                  , 100               , 11.1111111111111 , 10.0230776        
204800         , 1843200       , 0                  , 4                 , 10               , 44.7440492        
